Order ID,Order Date,Region,SKU,Qty,Sale Amount
ORD10691,04/11/2026, South,sku-009,6,$164.27
ORD10692,04/16/2026,West,SKU-008,3,$282.90
ORD10693,04/27/2026,West ,SKU-038,5,$60.73
ORD10694,04/25/2026,West,SKU-036,5,$569.69
ORD10695,04/15/2026,south,SKU-014,4,$249.37
ORD10696,04/14/2026,north,SKU-010,5,$444.11
ORD10697,04/23/2026, East,SKU-001,12,"$1,398.47"
ORD10698,04/28/2026, East,SKU-035,2,$188.56
ORD10699,04/04/2026, North,SKU-020,8,$952.15
ORD10700,04/27/2026, West,SKU-010,9,$844.36
ORD10701,04/01/2026,south,SKU-025,10,$886.11
ORD10702,04/03/2026,south,SKU-001,10,"$1,170.23"
ORD10703,04/06/2026,east,SKU-012,5,$168.00
ORD10704,04/07/2026,west,SKU-017,2,$107.15
ORD10705,04/03/2026,West,SKU-022,1,$128.62
ORD10706,04/06/2026,North ,SKU-002,8,$892.33
ORD10707,04/20/2026,north,SKU-006,8,$359.81
ORD10708,04/26/2026, West,SKU-039,7,$553.64
ORD10709,04/09/2026, West,SKU-007,12,$753.59
ORD10710,04/06/2026,west,SKU-020,7,"$1,230.06"
ORD10711,04/16/2026,South ,SKU-011,5,$263.43
ORD10712,04/01/2026,EAST,SKU-024,11,$714.46
ORD10713,04/09/2026,West,SKU-034,7,$460.27
ORD10714,04/10/2026,NORTH,SKU-005,1,$160.06
ORD10715,04/17/2026,west,SKU-010,6,$328.96
ORD10716,04/09/2026, South,SKU-008,11,$219.50
ORD10717,04/11/2026,NORTH,SKU-018,5,$139.82
ORD10718,04/27/2026,EAST,SKU-040,4,$450.04
ORD10719,04/28/2026,north,sku-006,10,$128.23
ORD10720,04/11/2026,West ,SKU-026,2,$101.79
ORD10721,04/09/2026,West ,SKU-016,1,$89.91
ORD10722,04/13/2026,West ,SKU-036,10,$212.65
ORD10723,04/15/2026,SOUTH,SKU-004,11,"$1,021.08"
ORD10724,04/07/2026, North,SKU-005,12,"$1,059.28"
ORD10725,04/02/2026, South,SKU-028,5,$835.84
ORD10726,04/12/2026, West,SKU-016,5,$231.75
ORD10727,04/15/2026,WEST,SKU-014,4,$310.11
ORD10728,04/01/2026, South,SKU-015,6,$393.60
ORD10729,04/28/2026,EAST,sku-015,6,$824.01
ORD10730,04/08/2026,south,SKU-025,5,$861.35
ORD10731,04/10/2026,south,SKU-007,2,$108.72
ORD10732,04/05/2026,North ,SKU-019,5,$137.02
ORD10733,04/10/2026,west,SKU-037,1,$87.86
ORD10734,04/15/2026, West,SKU-014,8,$662.25
ORD10735,04/02/2026,EAST,SKU-012,1,$101.08
ORD10736,04/26/2026,EAST,SKU-003,3,$388.20
ORD10737,04/29/2026,west,SKU-036,3,$278.58
ORD10738,04/29/2026,South,SKU-024,4,$638.18
ORD10739,04/28/2026,east,SKU-004,1,$28.40
ORD10740,04/01/2026,South ,SKU-017,10,$990.70
ORD10741,04/16/2026, East,SKU-019,4,$335.58
ORD10742,04/15/2026, North,SKU-011,4,$219.89
ORD10743,04/21/2026,East ,SKU-006,6,$375.42
ORD10744,04/28/2026,east,SKU-030,7,"$1,206.84"
ORD10745,04/26/2026,North,SKU-003,10,"$1,731.79"
ORD10746,04/06/2026, West,SKU-021,12,$610.89
ORD10747,04/07/2026,South ,SKU-031,1,$66.97
ORD10748,04/17/2026,EAST,SKU-002,9,$519.89
ORD10749,04/11/2026, South,SKU-040,11,$508.21
ORD10750,04/28/2026, East,SKU-027,11,"$1,934.55"
ORD10751,04/24/2026, West,SKU-017,10,$589.37
ORD10752,04/10/2026,south,SKU-006,11,"$1,422.09"
ORD10753,04/05/2026,north,SKU-013,4,$337.21
ORD10754,04/23/2026, East,SKU-006,12,"$1,294.02"
ORD10755,04/08/2026,east,SKU-012,6,$702.84
ORD10756,04/15/2026,west,SKU-029,11,"$1,711.87"
ORD10757,04/14/2026,East ,SKU-020,10,$306.29
ORD10758,04/09/2026,SOUTH,SKU-038,12,"$1,977.45"
ORD10759,04/27/2026,north,SKU-004,2,$325.27
ORD10760,04/08/2026, East,SKU-017,9,"$1,100.31"
ORD10761,04/24/2026,NORTH,SKU-001,1,$71.75
ORD10762,04/10/2026,NORTH,SKU-034,5,$851.32
ORD10763,04/09/2026,west,SKU-010,1,$95.43
ORD10764,04/05/2026, North,SKU-037,3,$434.08
ORD10765,04/15/2026,South ,SKU-039,3,$149.83
ORD10766,04/16/2026,east,SKU-003,8,$566.89
ORD10767,04/28/2026,East ,SKU-026,8,"$1,249.92"
ORD10768,04/14/2026,West ,SKU-011,2,$174.98
ORD10769,04/06/2026,North ,sku-011,7,$142.93
ORD10770,04/01/2026,South,SKU-031,5,$890.51
ORD10771,04/04/2026,north,SKU-019,8,$147.39
ORD10772,04/06/2026,NORTH,SKU-022,3,$243.64
ORD10773,04/02/2026,South ,SKU-009,12,$485.57
ORD10774,04/20/2026,West ,SKU-024,10,"$1,279.91"
ORD10775,04/29/2026,SOUTH,SKU-012,11,"$1,449.11"
ORD10776,04/19/2026,West ,SKU-036,10,$404.23
ORD10777,04/15/2026,NORTH,SKU-034,4,$550.17
ORD10778,04/28/2026,south,SKU-034,10,"$1,409.90"
ORD10779,04/03/2026,East,SKU-027,9,$89.81
ORD10780,04/21/2026,North ,SKU-016,7,$714.78
ORD10781,04/12/2026,WEST,SKU-035,5,$891.11
ORD10782,04/25/2026,North,SKU-012,1,$82.69
ORD10783,04/15/2026, East,SKU-040,2,$100.97
ORD10784,04/08/2026,South ,SKU-023,9,$623.93
ORD10785,04/30/2026,north,SKU-023,11,$772.77
ORD10786,04/03/2026, East,SKU-022,11,"$1,667.34"
ORD10787,04/19/2026,South ,SKU-003,11,$897.16
ORD10788,04/23/2026,SOUTH,SKU-019,10,"$1,061.11"
ORD10789,04/04/2026,East ,SKU-038,11,$537.96
ORD10790,04/22/2026,North,SKU-015,11,$167.93
ORD10791,04/12/2026,East ,SKU-010,1,$162.55
ORD10792,04/18/2026,West,SKU-007,2,$53.38
ORD10793,04/24/2026,East ,SKU-026,1,$36.66
ORD10794,04/09/2026, South,SKU-014,10,"$1,367.94"
ORD10795,04/07/2026,north,SKU-011,8,$96.75
ORD10796,04/04/2026,north,SKU-021,12,$178.19
ORD10797,04/25/2026, South,SKU-013,9,$915.53
ORD10798,04/20/2026,EAST,SKU-040,4,$604.75
ORD10799,04/22/2026,SOUTH,SKU-037,2,$92.25
ORD10800,04/25/2026,NORTH,SKU-008,8,$582.46
ORD10801,04/29/2026,EAST,SKU-034,5,$421.09
ORD10802,04/15/2026,north,SKU-028,6,$200.10
ORD10803,04/14/2026, East,SKU-005,12,"$1,165.54"
ORD10804,04/14/2026, North,SKU-038,6,$463.71
ORD10805,04/19/2026,South,SKU-037,4,$166.78
ORD10806,04/28/2026,east,SKU-023,1,$170.95
ORD10807,04/17/2026,West ,SKU-023,7,$794.31
ORD10808,04/22/2026,NORTH,SKU-018,4,$147.42
ORD10809,04/25/2026,WEST,SKU-021,5,$127.56
ORD10810,04/11/2026,west,SKU-010,2,$231.39
ORD10811,04/25/2026, East,SKU-027,12,"$2,109.80"
ORD10812,04/19/2026,EAST,SKU-013,5,$493.47
ORD10813,04/30/2026,west,SKU-035,4,$363.69
ORD10814,04/10/2026,North ,SKU-030,12,"$2,089.29"
ORD10815,04/21/2026, South,SKU-020,7,$411.20
ORD10816,04/16/2026,south,SKU-019,4,$496.42
ORD10817,04/13/2026,West ,SKU-019,9,$542.61
ORD10818,04/19/2026,South,SKU-036,4,$530.07
ORD10819,04/04/2026,North ,SKU-003,12,$316.69
ORD10820,04/12/2026,North,SKU-029,2,$37.01
ORD10821,04/10/2026,east,SKU-029,10,$348.68
