order_id,order_date,region,sku,quantity,amount
ORD10185,01-Feb-26,WEST,SKU-028,5,$546.35
ORD10186,21-Feb-26,South,SKU-004,4,$115.85
ORD10187,15-Feb-26, West,SKU-007,8,$486.84
ORD10188,19-Feb-26,North ,SKU-037,2,$345.29
ORD10189,20-Feb-26,west,SKU-014,10,"$1,214.15"
ORD10190,23-Feb-26, East,SKU-011,10,"$1,089.87"
ORD10191,10-Feb-26,SOUTH,SKU-023,12,$204.15
ORD10192,08-Feb-26,East,SKU-010,5,$249.32
ORD10193,08-Feb-26,South,SKU-011,5,$623.50
ORD10194,23-Feb-26,EAST,SKU-005,7,$904.15
ORD10195,01-Feb-26, North,SKU-023,7,$750.96
ORD10196,04-Feb-26,South,SKU-026,11,"$1,246.07"
ORD10197,18-Feb-26, North,SKU-014,8,$513.90
ORD10198,01-Feb-26,WEST,SKU-005,2,$121.01
ORD10199,23-Feb-26,South,SKU-034,1,$132.43
ORD10200,11-Feb-26, South,SKU-009,5,$716.67
ORD10201,22-Feb-26,South,SKU-040,10,$607.07
ORD10202,03-Feb-26, West,SKU-013,1,$143.37
ORD10203,22-Feb-26,East,SKU-012,8,$759.55
ORD10204,28-Feb-26, South,SKU-005,3,$212.70
ORD10205,03-Feb-26, East,SKU-034,6,$261.56
ORD10206,06-Feb-26, West,SKU-022,10,$93.79
ORD10207,24-Feb-26,south,SKU-019,1,$105.77
ORD10208,16-Feb-26,West,SKU-012,5,$801.06
ORD10209,25-Feb-26,north,SKU-014,7,$974.49
ORD10210,24-Feb-26,West ,SKU-004,12,"$1,055.93"
ORD10211,06-Feb-26,West,SKU-032,7,$611.84
ORD10212,28-Feb-26,West,SKU-025,5,$708.89
ORD10213,10-Feb-26,south,SKU-034,2,$122.20
ORD10214,27-Feb-26, South,SKU-002,12,"$2,010.18"
ORD10215,08-Feb-26, East,SKU-028,8,$777.09
ORD10216,02-Feb-26,North ,SKU-017,2,$202.23
ORD10217,21-Feb-26,WEST,SKU-034,6,$168.05
ORD10218,17-Feb-26,South ,SKU-037,9,"$1,073.76"
ORD10219,14-Feb-26,EAST,SKU-026,5,$561.39
ORD10220,13-Feb-26,South ,SKU-039,8,$250.94
ORD10221,01-Feb-26,EAST,SKU-016,5,$267.01
ORD10222,19-Feb-26,east,SKU-006,11,"$1,914.29"
ORD10223,10-Feb-26,South ,SKU-010,4,$211.13
ORD10224,05-Feb-26, West,SKU-037,4,$302.64
ORD10225,06-Feb-26,South,sku-004,5,$597.00
ORD10226,14-Feb-26,South,SKU-010,7,$268.90
ORD10227,01-Feb-26,EAST,SKU-012,10,"$1,237.82"
ORD10228,20-Feb-26,east,SKU-016,1,$94.40
ORD10229,25-Feb-26,East,SKU-002,4,$513.34
ORD10230,06-Feb-26,West ,SKU-005,2,$169.05
ORD10231,21-Feb-26,east,SKU-015,5,$880.17
ORD10232,09-Feb-26,South ,SKU-020,7,"$1,234.84"
ORD10233,01-Feb-26, North,SKU-001,3,$155.45
ORD10234,03-Feb-26,south,SKU-003,3,$454.41
ORD10235,04-Feb-26,south,SKU-009,4,$307.93
ORD10236,20-Feb-26,East ,SKU-024,8,"$1,138.58"
ORD10237,09-Feb-26,North ,SKU-039,3,$57.98
ORD10238,01-Feb-26,EAST,SKU-004,6,$114.32
ORD10239,05-Feb-26,East,SKU-010,8,"$1,425.07"
ORD10240,27-Feb-26,East ,SKU-018,11,$210.81
ORD10241,13-Feb-26,North ,SKU-036,5,$622.21
ORD10242,26-Feb-26,North,SKU-028,1,$92.75
ORD10243,22-Feb-26,South,SKU-005,3,$136.14
ORD10244,25-Feb-26,North,SKU-009,11,"$1,278.44"
