Order ID,Order Date,Region,SKU,Qty,Sale Amount
ORD10001,01/26/2026,north,SKU-002,9,$131.52
ORD10002,01/21/2026,WEST,SKU-032,4,$520.52
ORD10003,01/05/2026, South,SKU-040,6,$126.34
ORD10004,01/25/2026,east,SKU-028,8,$207.03
ORD10005,01/29/2026,EAST,SKU-008,1,$166.52
ORD10006,01/04/2026,east,SKU-038,5,$105.59
ORD10007,01/19/2026,North ,SKU-001,9,$795.87
ORD10008,01/08/2026, North,SKU-023,7,$593.16
ORD10009,01/28/2026,south,SKU-035,5,$296.20
ORD10010,01/21/2026,East ,SKU-019,9,"$1,254.18"
ORD10011,01/09/2026,West ,SKU-040,8,$697.66
ORD10012,01/10/2026,west,SKU-031,8,"$1,240.34"
ORD10013,01/31/2026,North ,SKU-002,4,$272.46
ORD10014,01/26/2026,EAST,SKU-021,9,$225.50
ORD10015,01/18/2026,West,SKU-030,7,$691.46
ORD10016,01/28/2026, West,SKU-023,4,$76.27
ORD10017,01/30/2026,NORTH,SKU-037,12,$368.70
ORD10018,01/18/2026,North ,SKU-033,1,$130.33
ORD10019,01/24/2026,south,SKU-039,9,$867.19
ORD10020,01/14/2026,South,SKU-016,9,$328.01
ORD10021,01/16/2026,South ,SKU-023,1,$90.77
ORD10022,01/13/2026,EAST,SKU-010,9,"$1,530.80"
ORD10023,01/06/2026,NORTH,SKU-002,2,$185.23
ORD10024,01/24/2026,East,sku-003,6,$123.33
ORD10025,01/18/2026,east,SKU-014,9,"$1,254.28"
ORD10026,01/05/2026,East,SKU-013,9,"$1,335.14"
ORD10027,01/18/2026,East,SKU-021,3,$371.07
ORD10028,01/02/2026,East ,SKU-001,12,"$1,970.36"
ORD10029,01/18/2026,NORTH,sku-031,10,"$1,011.74"
ORD10030,01/31/2026,West ,SKU-007,1,$165.93
ORD10031,01/08/2026,south,SKU-028,11,$549.91
ORD10032,01/07/2026, East,SKU-004,12,$236.54
ORD10033,01/10/2026,North ,SKU-019,1,$127.33
ORD10034,01/09/2026,EAST,SKU-001,4,$177.63
ORD10035,01/10/2026,West ,SKU-023,2,$274.44
ORD10036,01/12/2026, West,SKU-007,2,$248.24
ORD10037,01/24/2026,North,SKU-039,4,$473.50
ORD10038,01/02/2026, West,SKU-007,2,$156.86
ORD10039,01/19/2026,South ,SKU-031,11,"$1,300.74"
ORD10040,01/22/2026,WEST,SKU-034,3,$335.19
ORD10041,01/14/2026,West,SKU-024,7,$963.35
ORD10042,01/26/2026, West,SKU-031,10,"$1,534.54"
ORD10043,01/26/2026, East,SKU-015,12,"$1,712.73"
ORD10044,01/12/2026,West,SKU-019,10,$659.76
ORD10045,01/09/2026, East,sku-003,10,$970.72
ORD10046,01/22/2026,EAST,SKU-040,4,$56.96
ORD10047,01/13/2026,west,SKU-040,2,$312.93
ORD10048,01/18/2026,North,SKU-029,12,"$1,042.49"
ORD10049,01/17/2026, North,SKU-015,4,$385.47
ORD10050,01/20/2026, South,SKU-001,8,"$1,223.17"
ORD10051,01/14/2026,South,SKU-016,5,$451.95
ORD10052,01/22/2026,south,SKU-035,3,$342.47
ORD10053,01/13/2026,West,SKU-021,5,$85.27
ORD10054,01/22/2026,west,SKU-021,9,"$1,252.16"
ORD10055,01/12/2026, West,SKU-017,2,$254.76
ORD10056,01/10/2026,East,SKU-016,2,$130.62
ORD10057,01/29/2026,south,SKU-022,6,$640.78
ORD10058,01/18/2026,WEST,SKU-023,3,$418.16
ORD10059,01/16/2026,north,SKU-019,10,$540.22
ORD10060,01/08/2026,SOUTH,SKU-026,6,$625.06
ORD10061,01/20/2026, West,SKU-040,6,$918.60
ORD10062,01/23/2026,north,SKU-035,9,$670.82
ORD10063,01/29/2026, West,SKU-033,12,$418.77
ORD10064,01/12/2026,East ,SKU-035,9,"$1,145.86"
ORD10065,01/14/2026, North,SKU-035,9,$365.22
ORD10066,01/14/2026,WEST,SKU-025,6,"$1,045.04"
ORD10067,01/05/2026,North ,SKU-018,10,$450.54
ORD10068,01/12/2026, South,SKU-015,1,$116.33
ORD10069,01/22/2026,North ,SKU-022,8,"$1,135.32"
ORD10070,01/19/2026, West,SKU-018,3,$48.89
ORD10071,01/14/2026,West ,SKU-029,11,$690.99
ORD10072,01/28/2026,north,SKU-019,5,$122.25
ORD10073,01/19/2026, West,SKU-030,11,"$1,670.66"
ORD10074,01/17/2026,west,sku-028,1,$11.64
ORD10075,01/17/2026,SOUTH,SKU-019,6,$163.50
ORD10076,01/06/2026,South ,SKU-004,4,$224.03
ORD10077,01/25/2026,West,SKU-033,1,$95.55
ORD10078,01/07/2026, North,SKU-019,12,$113.66
ORD10079,01/30/2026,north,SKU-036,4,$77.79
ORD10080,01/12/2026, West,SKU-025,1,$166.47
ORD10081,01/17/2026,NORTH,SKU-040,5,$869.26
ORD10082,01/24/2026,south,SKU-039,2,$74.56
ORD10083,01/04/2026, East,SKU-022,11,$363.42
ORD10084,01/17/2026, South,SKU-004,5,$177.80
ORD10085,01/13/2026,west,SKU-028,8,"$1,399.37"
ORD10086,01/25/2026, North,SKU-010,10,"$1,545.62"
ORD10087,01/16/2026,East ,SKU-013,5,$410.56
ORD10088,01/20/2026, East,SKU-001,2,$132.58
ORD10089,01/07/2026,west,SKU-017,5,$304.99
ORD10090,01/10/2026,South,SKU-023,1,$132.29
ORD10091,01/21/2026,South ,SKU-022,3,$282.92
ORD10092,01/17/2026,East ,SKU-005,3,$56.23
ORD10093,01/25/2026,East ,SKU-035,2,$179.13
ORD10094,01/10/2026, South,SKU-040,12,$689.78
ORD10095,01/03/2026,NORTH,SKU-015,10,$739.93
ORD10096,01/24/2026, East,SKU-030,6,$662.38
ORD10097,01/12/2026,North ,SKU-027,1,$62.81
ORD10098,01/21/2026,West,SKU-014,7,$142.43
ORD10099,01/15/2026,north,SKU-040,8,$566.78
ORD10100,01/04/2026,south,SKU-038,10,$260.82
ORD10101,01/11/2026,west,SKU-036,7,$212.21
ORD10102,01/27/2026,NORTH,SKU-036,5,$858.74
ORD10103,01/11/2026,West ,SKU-040,5,$473.81
ORD10104,01/16/2026,West,SKU-004,3,$386.11
ORD10105,01/10/2026,North,SKU-035,7,$692.90
ORD10106,01/27/2026,West,SKU-008,8,"$1,207.12"
ORD10107,01/29/2026,SOUTH,SKU-014,10,$714.02
ORD10108,01/31/2026, West,SKU-006,5,$788.81
ORD10109,01/16/2026,North,sku-035,2,$103.63
ORD10110,01/19/2026,West ,SKU-001,1,$128.17
ORD10111,01/22/2026,East ,SKU-013,6,"$1,037.14"
ORD10112,01/27/2026,south,SKU-028,4,$672.85
ORD10113,01/09/2026,West,SKU-017,10,$841.28
ORD10114,01/07/2026,West,SKU-015,5,$751.26
ORD10115,01/27/2026,SOUTH,SKU-040,6,$753.39
ORD10116,01/31/2026,South ,SKU-005,2,$140.61
ORD10117,01/23/2026,West ,SKU-017,7,$637.02
ORD10118,01/17/2026, South,SKU-013,2,$49.99
ORD10119,01/19/2026, East,SKU-007,3,$333.11
ORD10120,01/14/2026,WEST,SKU-014,4,$470.93
ORD10121,01/28/2026,WEST,SKU-037,3,$530.52
ORD10122,01/24/2026,North,SKU-012,6,$301.23
ORD10123,01/04/2026,west,SKU-026,10,"$1,772.45"
ORD10124,01/03/2026,west,SKU-026,11,$763.16
ORD10125,01/01/2026,NORTH,SKU-014,9,$330.02
ORD10126,01/25/2026,south,SKU-010,11,"$1,092.48"
ORD10127,01/12/2026, North,SKU-004,11,$226.66
ORD10128,01/29/2026,EAST,SKU-040,2,$311.99
ORD10129,01/30/2026,north,SKU-017,7,$206.70
ORD10130,01/06/2026, West,SKU-011,12,"$1,514.86"
ORD10131,01/10/2026,North ,SKU-014,7,$541.17
ORD10132,01/12/2026,East ,sku-001,8,$455.37
ORD10133,01/20/2026,south,SKU-017,10,$532.16
ORD10134,01/11/2026,south,SKU-030,12,$196.75
ORD10135,01/28/2026,east,SKU-008,4,$332.80
ORD10136,01/08/2026, West,SKU-019,7,"$1,194.42"
ORD10137,01/07/2026,west,SKU-023,8,$216.04
ORD10138,01/05/2026,EAST,SKU-034,6,$423.60
ORD10139,01/22/2026,East,SKU-037,11,$527.24
ORD10140,01/19/2026,West,SKU-023,3,$346.19
ORD10141,01/03/2026,West ,SKU-002,8,$283.12
ORD10142,01/31/2026,NORTH,SKU-033,6,$312.63
ORD10143,01/01/2026,WEST,SKU-040,4,$534.82
ORD10144,01/23/2026,South ,SKU-031,1,$164.56
ORD10145,01/06/2026,south,SKU-031,1,$9.93
ORD10146,01/25/2026,West,SKU-010,7,$687.53
ORD10147,01/23/2026,East ,SKU-027,4,$300.76
ORD10148,01/27/2026,East ,SKU-036,2,$353.44
ORD10149,01/30/2026,WEST,SKU-040,8,$114.03
ORD10150,01/23/2026,West ,SKU-029,11,"$1,458.91"
ORD10151,01/27/2026,West ,SKU-036,3,$251.70
ORD10152,01/28/2026,NORTH,SKU-016,9,$863.22
ORD10153,01/13/2026,East ,SKU-031,2,$134.08
ORD10154,01/06/2026,South ,SKU-015,12,"$1,820.94"
ORD10155,01/22/2026,north,SKU-034,5,$714.58
ORD10156,01/30/2026,South,SKU-017,11,$656.61
ORD10157,01/11/2026,North,SKU-023,5,$243.17
ORD10158,01/31/2026,East,SKU-006,8,$108.47
ORD10159,01/15/2026,east,SKU-040,1,$119.60
ORD10160,01/06/2026,North ,SKU-012,9,"$1,179.54"
ORD10161,01/28/2026,North ,SKU-011,6,$466.81
ORD10162,01/20/2026,EAST,SKU-014,5,$433.26
ORD10163,01/08/2026,East ,SKU-032,9,$126.28
ORD10164,01/30/2026,East,SKU-020,10,$285.46
ORD10165,01/07/2026,north,SKU-002,12,$998.91
ORD10166,01/13/2026,South,SKU-010,9,"$1,354.87"
ORD10167,01/08/2026,south,SKU-010,1,$17.47
ORD10168,01/13/2026,west,SKU-005,4,$193.98
ORD10169,01/27/2026,WEST,SKU-011,10,"$1,105.00"
ORD10170,01/07/2026,EAST,SKU-036,10,$768.61
ORD10171,01/16/2026,West ,SKU-032,6,$709.43
ORD10172,01/23/2026,West ,SKU-025,2,$22.65
ORD10173,01/09/2026,WEST,SKU-007,8,"$1,437.03"
ORD10174,01/09/2026,south,SKU-003,11,$511.00
ORD10175,01/21/2026,South,SKU-015,8,"$1,211.65"
ORD10176,01/17/2026, North,SKU-034,11,$476.54
ORD10177,01/08/2026,South ,SKU-009,5,$738.95
