OrderID,Date,Sales Region,Product SKU,Units,Revenue ($)
ORD11168,2026-06-16, South,SKU-029,6,$434.72
ORD11169,2026-06-15, North,SKU-011,2,$296.21
ORD11170,2026-06-17,WEST,SKU-019,10,$329.97
ORD11171,2026-06-07, South,SKU-010,12,"$1,624.43"
ORD11172,2026-06-02,South ,SKU-012,5,$728.45
ORD11173,2026-06-08, South,SKU-037,3,$302.64
ORD11174,2026-06-02,west,SKU-029,8,"$1,307.83"
ORD11175,2026-06-22,west,SKU-007,2,$169.66
ORD11176,2026-06-19,West,SKU-034,3,$87.04
ORD11177,2026-06-03,EAST,SKU-018,4,$82.34
ORD11178,2026-06-10, North,SKU-032,6,$965.86
ORD11179,2026-06-18,East,SKU-022,4,$443.70
ORD11180,2026-06-15, West,SKU-015,1,$53.19
ORD11181,2026-06-28, East,SKU-033,11,$844.24
ORD11182,2026-06-07,WEST,SKU-012,10,"$1,669.45"
ORD11183,2026-06-20,WEST,SKU-002,5,$557.26
ORD11184,2026-06-28,north,SKU-024,3,$205.79
ORD11185,2026-06-10,east,SKU-022,2,$322.43
ORD11186,2026-06-03, South,SKU-017,2,$183.44
ORD11187,2026-06-22,EAST,SKU-021,7,$147.56
ORD11188,2026-06-25,South ,SKU-028,3,$55.03
ORD11189,2026-06-20, North,SKU-007,1,$89.24
ORD11190,2026-06-28,south,SKU-014,5,$883.06
ORD11191,2026-06-13,south,SKU-036,1,$16.62
ORD11192,2026-06-23,EAST,SKU-010,12,"$1,742.40"
ORD11193,2026-06-20,East ,SKU-037,10,$748.67
ORD11194,2026-06-27,EAST,SKU-038,8,"$1,007.82"
ORD11195,2026-06-19,south,SKU-028,4,$251.84
ORD11196,2026-06-28,West ,sku-027,6,$786.04
ORD11197,2026-06-18,east,SKU-033,10,"$1,445.79"
ORD11198,2026-06-03,West,SKU-010,10,"$1,313.70"
ORD11199,2026-06-15,EAST,SKU-006,7,$515.78
ORD11200,2026-06-24,West,SKU-025,5,$804.47
ORD11201,2026-06-12,North,SKU-021,6,$55.23
ORD11202,2026-06-17,NORTH,SKU-033,3,$528.09
ORD11203,2026-06-26,West,SKU-024,7,$173.87
ORD11204,2026-06-28, East,SKU-017,3,$315.99
ORD11205,2026-06-13, North,SKU-040,2,$59.96
ORD11206,2026-06-07,west,sku-032,2,$111.84
ORD11207,2026-06-09,East ,SKU-035,12,$904.65
ORD11208,2026-06-29, East,SKU-001,3,$361.45
ORD11209,2026-06-30,West,SKU-025,2,$98.70
ORD11210,2026-06-04,north,SKU-039,4,$284.21
ORD11211,2026-06-18,NORTH,SKU-010,10,$829.14
ORD11212,2026-06-01,WEST,SKU-030,11,$568.62
ORD11213,2026-06-18,SOUTH,SKU-033,10,$911.06
ORD11214,2026-06-05,North ,SKU-003,9,$955.28
ORD11215,2026-06-24,East ,SKU-032,11,$986.67
ORD11216,2026-06-21,East,SKU-024,2,$333.37
ORD11217,2026-06-24,east,SKU-006,6,$68.75
ORD11218,2026-06-10,East ,SKU-002,4,$581.60
ORD11219,2026-06-23,East,SKU-030,11,"$1,692.96"
ORD11220,2026-06-26,east,SKU-029,11,"$1,576.72"
ORD11221,2026-06-25,east,SKU-034,8,"$1,202.93"
ORD11222,2026-06-08, North,SKU-039,3,$457.25
ORD11223,2026-06-15,SOUTH,SKU-017,8,$164.04
ORD11224,2026-06-22, South,SKU-005,4,$446.64
ORD11225,2026-06-18,SOUTH,SKU-035,2,$327.14
ORD11226,2026-06-24, North,SKU-013,2,$355.99
ORD11227,2026-06-13,east,SKU-031,9,"$1,560.68"
ORD11228,2026-06-15,North ,SKU-002,3,$311.23
ORD11229,2026-06-08,south,SKU-002,5,$267.78
ORD11230,2026-06-23, South,SKU-040,2,$170.34
ORD11231,2026-06-29, North,SKU-017,6,$954.41
ORD11232,2026-06-26,North ,SKU-025,8,$544.08
ORD11233,2026-06-25,west,SKU-032,5,$741.45
ORD11234,2026-06-19,west,SKU-018,9,$347.49
