OrderID,Date,Sales Region,Product SKU,Units,Revenue ($)
ORD10444,2026-03-25,north,SKU-036,12,"$1,701.32"
ORD10445,2026-03-13, South,SKU-011,8,$854.71
ORD10446,2026-03-31, East,SKU-004,11,"$1,846.31"
ORD10447,2026-03-21, West,SKU-005,8,$577.90
ORD10448,2026-03-07,WEST,SKU-031,5,$611.40
ORD10449,2026-03-20,East ,SKU-023,4,$515.04
ORD10450,2026-03-07,east,SKU-027,11,"$1,037.25"
ORD10451,2026-03-20, East,SKU-018,12,$726.77
ORD10452,2026-03-10, North,SKU-014,5,$755.43
ORD10453,2026-03-15, North,SKU-017,3,$477.66
ORD10454,2026-03-22,West ,SKU-036,8,"$1,036.69"
ORD10455,2026-03-07,SOUTH,SKU-008,6,$600.57
ORD10456,2026-03-24,EAST,SKU-010,5,$277.49
ORD10457,2026-03-02,North,SKU-033,6,$721.19
ORD10458,2026-03-21, South,SKU-038,3,$365.23
ORD10459,2026-03-09,East ,SKU-009,5,$64.67
ORD10460,2026-03-01,West ,SKU-036,6,$909.17
ORD10461,2026-03-17,West ,SKU-004,1,$150.89
ORD10462,2026-03-03,SOUTH,SKU-018,4,$642.19
ORD10463,2026-03-31,west,SKU-006,3,$49.07
ORD10464,2026-03-17,WEST,SKU-028,2,$20.68
ORD10465,2026-03-16,East ,SKU-038,10,"$1,776.27"
ORD10466,2026-03-06,north,SKU-003,12,"$1,484.32"
ORD10467,2026-03-18,South,SKU-036,11,"$1,932.48"
ORD10468,2026-03-29,South,SKU-002,7,$879.79
ORD10469,2026-03-18, East,SKU-001,4,$467.69
ORD10470,2026-03-12,North ,SKU-034,7,$404.60
ORD10471,2026-03-30,west,SKU-005,1,$41.58
ORD10472,2026-03-02,South ,SKU-004,5,$480.10
ORD10473,2026-03-05,South ,SKU-007,4,$294.13
ORD10474,2026-03-22,South ,SKU-040,11,$986.74
ORD10475,2026-03-25, West,sku-002,2,$201.12
ORD10476,2026-03-07,NORTH,SKU-006,2,$142.89
ORD10477,2026-03-15,West ,SKU-035,10,"$1,241.01"
ORD10478,2026-03-12,East ,SKU-025,6,"$1,048.31"
ORD10479,2026-03-04,west,SKU-006,3,$472.39
ORD10480,2026-03-06,east,SKU-011,9,$606.21
ORD10481,2026-03-10,north,SKU-002,4,$251.87
ORD10482,2026-03-08,South ,SKU-039,6,$944.18
ORD10483,2026-03-30,West,SKU-025,1,$61.42
ORD10484,2026-03-12,WEST,SKU-038,8,$301.44
ORD10485,2026-03-09,east,SKU-033,3,$471.00
ORD10486,2026-03-26,EAST,SKU-030,2,$190.27
ORD10487,2026-03-04,west,SKU-035,7,$643.03
ORD10488,2026-03-30, South,SKU-016,12,"$1,280.79"
ORD10489,2026-03-28, South,SKU-029,8,$762.84
ORD10490,2026-03-30,east,SKU-039,9,"$1,229.25"
ORD10491,2026-03-28, West,SKU-016,8,"$1,004.16"
ORD10492,2026-03-18,north,SKU-003,8,"$1,225.60"
ORD10493,2026-03-10,east,SKU-028,7,$748.62
ORD10494,2026-03-23,east,SKU-037,11,$317.47
ORD10495,2026-03-10, West,SKU-013,7,$92.35
ORD10496,2026-03-26,West,SKU-037,11,$686.35
ORD10497,2026-03-01,NORTH,SKU-025,8,$429.72
ORD10498,2026-03-16,West,SKU-004,11,$806.91
ORD10499,2026-03-25,east,SKU-013,1,$121.98
ORD10500,2026-03-20, North,SKU-009,6,$870.33
ORD10501,2026-03-05,SOUTH,SKU-025,3,$234.61
ORD10502,2026-03-14,East,SKU-024,12,"$2,054.68"
ORD10503,2026-03-01, South,SKU-005,1,$38.78
ORD10504,2026-03-24,East,SKU-036,6,"$1,014.24"
ORD10505,2026-03-30, West,SKU-039,3,$439.59
ORD10506,2026-03-15,North,SKU-015,1,$43.03
ORD10507,2026-03-14,WEST,SKU-002,7,$863.05
ORD10508,2026-03-16,west,SKU-025,8,$398.19
ORD10509,2026-03-09,WEST,SKU-029,2,$150.04
ORD10510,2026-03-29, North,SKU-032,12,"$1,637.66"
ORD10511,2026-03-24,SOUTH,SKU-007,8,$218.29
ORD10512,2026-03-04,West ,SKU-022,5,$211.34
ORD10513,2026-03-17,North,SKU-024,10,"$1,630.30"
ORD10514,2026-03-20,east,SKU-027,3,$479.41
ORD10515,2026-03-31,west,SKU-023,6,$712.78
ORD10516,2026-03-28,SOUTH,SKU-011,8,"$1,058.55"
ORD10517,2026-03-18, North,SKU-031,7,$445.56
ORD10518,2026-03-22,SOUTH,SKU-016,2,$195.41
ORD10519,2026-03-18,North ,SKU-037,9,"$1,314.87"
ORD10520,2026-03-09, North,SKU-032,2,$65.91
ORD10521,2026-03-02,South ,SKU-035,7,$534.91
ORD10522,2026-03-10,south,SKU-018,8,$236.54
ORD10523,2026-03-04,West ,SKU-037,3,$509.30
ORD10524,2026-03-14,west,SKU-031,12,"$1,870.65"
ORD10525,2026-03-15, West,SKU-034,7,$487.62
ORD10526,2026-03-11,East,SKU-025,10,$158.98
ORD10527,2026-03-15,west,SKU-023,1,$131.69
ORD10528,2026-03-21,East ,SKU-029,1,$138.46
ORD10529,2026-03-13,North,sku-030,3,$127.86
ORD10530,2026-03-06, North,SKU-015,9,$568.94
ORD10531,2026-03-09,EAST,SKU-009,4,$102.98
ORD10532,2026-03-06, North,SKU-015,2,$167.06
ORD10533,2026-03-03, North,SKU-022,6,$597.61
ORD10534,2026-03-22,East ,SKU-022,9,$832.54
ORD10535,2026-03-23,west,SKU-012,5,$405.28
ORD10536,2026-03-07,WEST,SKU-025,8,"$1,188.59"
ORD10537,2026-03-14,North,SKU-034,7,$794.69
ORD10538,2026-03-31, West,SKU-009,10,"$1,177.68"
ORD10539,2026-03-15,WEST,SKU-040,5,$875.21
ORD10540,2026-03-19,North,SKU-019,6,$534.37
ORD10541,2026-03-22,WEST,SKU-016,12,"$1,862.33"
ORD10542,2026-03-13,South,SKU-021,5,$329.81
ORD10543,2026-03-05,WEST,SKU-014,7,$717.71
ORD10544,2026-03-24,West,SKU-029,7,$839.98
ORD10545,2026-03-07,North,SKU-017,8,$181.57
ORD10546,2026-03-09,WEST,SKU-034,9,"$1,266.18"
ORD10547,2026-03-24,North,SKU-039,9,$750.39
ORD10548,2026-03-16,West ,SKU-002,4,$97.73
ORD10549,2026-03-27,north,SKU-005,8,$254.06
ORD10550,2026-03-01,South ,SKU-019,3,$370.87
ORD10551,2026-03-24,West ,SKU-027,8,$812.43
ORD10552,2026-03-18,East ,SKU-034,1,$174.28
ORD10553,2026-03-27,South,SKU-031,11,$607.85
ORD10554,2026-03-15,north,SKU-028,10,$802.65
ORD10555,2026-03-08,North,SKU-011,4,$67.16
ORD10556,2026-03-08, North,SKU-027,11,$980.30
ORD10557,2026-03-03, East,SKU-012,8,"$1,044.45"
ORD10558,2026-03-16,East,SKU-008,11,"$1,959.24"
ORD10559,2026-03-02,South,SKU-031,7,$705.42
ORD10560,2026-03-13,west,SKU-012,1,$26.88
ORD10561,2026-03-01,South ,SKU-028,9,"$1,141.13"
ORD10562,2026-03-07,south,SKU-015,12,$917.93
ORD10563,2026-03-13,East ,SKU-012,12,$247.76
ORD10564,2026-03-19, East,SKU-020,10,"$1,357.35"
ORD10565,2026-03-16,East ,SKU-038,3,$453.33
ORD10566,2026-03-10,South ,SKU-016,1,$171.20
ORD10567,2026-03-04, South,SKU-032,5,$221.90
ORD10568,2026-03-09,EAST,SKU-008,8,"$1,035.58"
ORD10569,2026-03-10,EAST,SKU-031,7,"$1,044.81"
ORD10570,2026-03-10,East ,SKU-009,1,$20.91
ORD10571,2026-03-30,south,SKU-034,9,$405.79
ORD10572,2026-03-07,West ,SKU-021,12,"$1,123.31"
ORD10573,2026-03-18, West,SKU-036,4,$121.37
ORD10574,2026-03-10,South ,SKU-027,9,$727.37
ORD10575,2026-03-13,East ,SKU-017,8,$452.99
