order_id,order_date,region,sku,quantity,amount
ORD10935,24-May-26, East,sku-030,4,$648.53
ORD10936,06-May-26,east,SKU-003,6,$111.95
ORD10937,27-May-26, East,SKU-022,12,$601.88
ORD10938,17-May-26, East,SKU-031,2,$345.37
ORD10939,01-May-26,South ,SKU-007,10,"$1,604.81"
ORD10940,16-May-26,North ,SKU-018,3,$367.14
ORD10941,01-May-26,West,SKU-003,11,$556.16
ORD10942,21-May-26,East ,SKU-013,2,$217.47
ORD10943,22-May-26,east,SKU-019,11,"$1,480.62"
ORD10944,28-May-26,East ,SKU-011,5,$884.08
ORD10945,11-May-26,East ,SKU-024,3,$425.41
ORD10946,30-May-26,North ,SKU-039,10,"$1,603.76"
ORD10947,25-May-26,north,SKU-020,5,$263.22
ORD10948,12-May-26, North,SKU-031,1,$93.63
ORD10949,27-May-26,North ,SKU-035,2,$240.11
ORD10950,13-May-26,east,SKU-037,7,"$1,071.70"
ORD10951,03-May-26, East,SKU-016,9,$217.41
ORD10952,07-May-26,north,SKU-013,3,$358.35
ORD10953,21-May-26,North,SKU-019,6,"$1,004.52"
ORD10954,05-May-26,North,SKU-028,5,$839.68
ORD10955,10-May-26,South ,SKU-036,11,"$1,687.78"
ORD10956,17-May-26,west,SKU-011,12,$819.69
ORD10957,14-May-26,north,SKU-010,3,$509.02
ORD10958,28-May-26,EAST,SKU-021,6,$391.00
ORD10959,30-May-26,North ,SKU-028,1,$63.66
ORD10960,26-May-26, South,SKU-020,11,$880.62
ORD10961,14-May-26,East ,SKU-004,2,$293.53
ORD10962,11-May-26,west,SKU-001,7,$279.56
ORD10963,05-May-26,north,SKU-001,1,$170.23
ORD10964,12-May-26,North,SKU-017,5,$104.93
ORD10965,19-May-26,NORTH,SKU-016,3,$162.79
ORD10966,06-May-26,East,SKU-032,12,"$1,406.13"
ORD10967,23-May-26, South,SKU-011,5,$111.99
ORD10968,22-May-26,West,SKU-009,1,$15.62
ORD10969,05-May-26, East,sku-008,5,$106.54
ORD10970,26-May-26,West,SKU-020,8,"$1,195.05"
ORD10971,17-May-26,West ,SKU-014,1,$158.17
ORD10972,15-May-26,North,SKU-032,8,"$1,436.25"
ORD10973,05-May-26, South,SKU-017,8,"$1,384.48"
ORD10974,26-May-26,west,SKU-017,9,$376.56
ORD10975,02-May-26, North,SKU-004,7,$481.21
ORD10976,31-May-26,South,SKU-007,1,$133.99
ORD10977,18-May-26,WEST,SKU-009,1,$111.86
ORD10978,30-May-26,North,SKU-019,9,$793.86
ORD10979,22-May-26,South ,SKU-036,5,$352.52
ORD10980,22-May-26,EAST,SKU-006,1,$98.45
ORD10981,19-May-26,East,SKU-012,1,$41.49
ORD10982,05-May-26,EAST,SKU-033,11,"$1,215.09"
ORD10983,29-May-26,West ,SKU-037,1,$106.11
ORD10984,22-May-26,WEST,SKU-020,11,"$1,231.56"
ORD10985,01-May-26, South,SKU-018,8,$269.26
ORD10986,04-May-26,east,SKU-012,11,$995.71
ORD10987,10-May-26,North ,SKU-013,7,$121.78
ORD10988,10-May-26,west,SKU-004,7,"$1,011.02"
ORD10989,27-May-26,EAST,SKU-024,6,"$1,012.29"
ORD10990,25-May-26,SOUTH,SKU-040,3,$208.89
ORD10991,11-May-26, South,SKU-011,5,$215.70
ORD10992,11-May-26, West,SKU-002,9,"$1,380.76"
ORD10993,12-May-26,East,SKU-003,3,$435.14
ORD10994,16-May-26, West,SKU-011,12,"$1,468.92"
ORD10995,24-May-26,East,SKU-013,3,$483.41
ORD10996,07-May-26,east,sku-034,9,$811.96
ORD10997,17-May-26,East,SKU-038,12,"$1,601.75"
ORD10998,25-May-26,NORTH,SKU-026,7,$721.84
ORD10999,15-May-26,WEST,SKU-011,7,$453.44
ORD11000,19-May-26, South,SKU-033,2,$62.59
ORD11001,12-May-26, West,SKU-040,10,$676.61
ORD11002,09-May-26, East,SKU-039,3,$262.33
ORD11003,16-May-26, West,SKU-015,2,$334.24
ORD11004,29-May-26,south,SKU-021,5,$515.17
ORD11005,21-May-26,North ,SKU-001,3,$387.30
ORD11006,11-May-26,east,SKU-038,8,"$1,035.75"
ORD11007,07-May-26,north,SKU-033,5,$553.65
ORD11008,16-May-26,SOUTH,SKU-028,10,"$1,699.22"
ORD11009,10-May-26,north,SKU-002,9,"$1,147.58"
ORD11010,07-May-26,South,SKU-002,6,$445.91
ORD11011,31-May-26,West,SKU-027,12,$173.56
ORD11012,17-May-26,west,SKU-036,6,$982.71
ORD11013,25-May-26, West,SKU-022,10,"$1,310.85"
ORD11014,09-May-26,EAST,SKU-028,11,"$1,604.25"
ORD11015,09-May-26,East,SKU-037,8,"$1,024.88"
ORD11016,26-May-26,north,SKU-023,5,$629.27
ORD11017,06-May-26,South,SKU-027,12,"$1,961.20"
ORD11018,02-May-26,south,SKU-023,6,$390.58
ORD11019,28-May-26,East,SKU-001,10,"$1,337.94"
ORD11020,30-May-26, North,SKU-025,6,$331.15
ORD11021,16-May-26,East ,SKU-037,2,$188.04
ORD11022,04-May-26,South,SKU-018,12,"$1,570.51"
ORD11023,30-May-26, East,SKU-024,7,$520.37
ORD11024,24-May-26, East,SKU-008,4,$261.21
ORD11025,20-May-26,west,SKU-033,5,$438.22
