region,month,budget
North,2026-01,34962.0
North,2026-02,33292.0
North,2026-03,42543.0
North,2026-04,39917.0
North,2026-05,31461.0
North,2026-06,36932.0
South,2026-01,28983.0
South,2026-02,28768.0
South,2026-03,34687.0
South,2026-04,29169.0
South,2026-05,38851.0
South,2026-06,32714.0
East,2026-01,43926.0
East,2026-02,42443.0
East,2026-03,44121.0
East,2026-04,41365.0
East,2026-05,37563.0
East,2026-06,38534.0
West,2026-01,29264.0
West,2026-02,29213.0
West,2026-03,35476.0
West,2026-04,35963.0
West,2026-05,38552.0
West,2026-06,34033.0
