sku,name,category,unit_cost
SKU-001,Product 001,Hardware,33.15
SKU-002,Product 002,Services,8.1
SKU-003,Product 003,Services,81.23
SKU-004,Product 004,Services,5.65
SKU-005,Product 005,Software,49.76
SKU-006,Product 006,Software,8.43
SKU-007,Product 007,Software,75.16
SKU-008,Product 008,Services,19.83
SKU-009,Product 009,Software,8.68
SKU-010,Product 010,Services,45.55
SKU-011,Product 011,Services,68.35
SKU-012,Product 012,Software,10.0
SKU-013,Product 013,Software,64.58
SKU-014,Product 014,Hardware,67.59
SKU-015,Product 015,Services,33.17
SKU-016,Product 016,Services,54.66
SKU-017,Product 017,Software,8.02
SKU-018,Product 018,Services,40.96
SKU-019,Product 019,Software,27.58
SKU-020,Product 020,Hardware,68.57
SKU-021,Product 021,Hardware,19.83
SKU-022,Product 022,Services,4.99
SKU-023,Product 023,Hardware,4.07
SKU-024,Product 024,Services,16.52
SKU-025,Product 025,Software,26.92
SKU-026,Product 026,Software,19.62
SKU-027,Product 027,Services,79.37
SKU-028,Product 028,Services,73.43
SKU-029,Product 029,Services,78.69
SKU-030,Product 030,Software,6.4
SKU-031,Product 031,Hardware,53.08
SKU-032,Product 032,Software,82.53
SKU-033,Product 033,Hardware,82.99
SKU-034,Product 034,Hardware,38.07
SKU-035,Product 035,Software,9.7
SKU-036,Product 036,Software,82.98
SKU-037,Product 037,Services,51.15
SKU-038,Product 038,Services,24.23
SKU-039,Product 039,Hardware,41.48
SKU-040,Product 040,Services,88.04
