order_id,order_date,region,sku,quantity,amount,month,cost,source_file
ORD10691,2026-04-11,South,SKU-009,6,164.27,2026-04,52.08,sales_apr_2026.csv
ORD10692,2026-04-16,West,SKU-008,3,282.9,2026-04,59.49,sales_apr_2026.csv
ORD10693,2026-04-27,West,SKU-038,5,60.73,2026-04,121.15,sales_apr_2026.csv
ORD10694,2026-04-25,West,SKU-036,5,569.69,2026-04,414.9,sales_apr_2026.csv
ORD10695,2026-04-15,South,SKU-014,4,249.37,2026-04,270.36,sales_apr_2026.csv
ORD10696,2026-04-14,North,SKU-010,5,444.11,2026-04,227.75,sales_apr_2026.csv
ORD10697,2026-04-23,East,SKU-001,12,1398.47,2026-04,397.8,sales_apr_2026.csv
ORD10698,2026-04-28,East,SKU-035,2,188.56,2026-04,19.4,sales_apr_2026.csv
ORD10699,2026-04-04,North,SKU-020,8,952.15,2026-04,548.56,sales_apr_2026.csv
ORD10700,2026-04-27,West,SKU-010,9,844.36,2026-04,409.95,sales_apr_2026.csv
ORD10701,2026-04-01,South,SKU-025,10,886.11,2026-04,269.2,sales_apr_2026.csv
ORD10702,2026-04-03,South,SKU-001,10,1170.23,2026-04,331.5,sales_apr_2026.csv
ORD10703,2026-04-06,East,SKU-012,5,168.0,2026-04,50.0,sales_apr_2026.csv
ORD10704,2026-04-07,West,SKU-017,2,107.15,2026-04,16.04,sales_apr_2026.csv
ORD10705,2026-04-03,West,SKU-022,1,128.62,2026-04,4.99,sales_apr_2026.csv
ORD10706,2026-04-06,North,SKU-002,8,892.33,2026-04,64.8,sales_apr_2026.csv
ORD10707,2026-04-20,North,SKU-006,8,359.81,2026-04,67.44,sales_apr_2026.csv
ORD10708,2026-04-26,West,SKU-039,7,553.64,2026-04,290.36,sales_apr_2026.csv
ORD10709,2026-04-09,West,SKU-007,12,753.59,2026-04,901.92,sales_apr_2026.csv
ORD10710,2026-04-06,West,SKU-020,7,1230.06,2026-04,479.99,sales_apr_2026.csv
ORD10711,2026-04-16,South,SKU-011,5,263.43,2026-04,341.75,sales_apr_2026.csv
ORD10712,2026-04-01,East,SKU-024,11,714.46,2026-04,181.72,sales_apr_2026.csv
ORD10713,2026-04-09,West,SKU-034,7,460.27,2026-04,266.49,sales_apr_2026.csv
ORD10714,2026-04-10,North,SKU-005,1,160.06,2026-04,49.76,sales_apr_2026.csv
ORD10715,2026-04-17,West,SKU-010,6,328.96,2026-04,273.3,sales_apr_2026.csv
ORD10716,2026-04-09,South,SKU-008,11,219.5,2026-04,218.13,sales_apr_2026.csv
ORD10717,2026-04-11,North,SKU-018,5,139.82,2026-04,204.8,sales_apr_2026.csv
ORD10718,2026-04-27,East,SKU-040,4,450.04,2026-04,352.16,sales_apr_2026.csv
ORD10719,2026-04-28,North,SKU-006,10,128.23,2026-04,84.3,sales_apr_2026.csv
ORD10720,2026-04-11,West,SKU-026,2,101.79,2026-04,39.24,sales_apr_2026.csv
ORD10721,2026-04-09,West,SKU-016,1,89.91,2026-04,54.66,sales_apr_2026.csv
ORD10722,2026-04-13,West,SKU-036,10,212.65,2026-04,829.8,sales_apr_2026.csv
ORD10723,2026-04-15,South,SKU-004,11,1021.08,2026-04,62.15,sales_apr_2026.csv
ORD10724,2026-04-07,North,SKU-005,12,1059.28,2026-04,597.12,sales_apr_2026.csv
ORD10725,2026-04-02,South,SKU-028,5,835.84,2026-04,367.15,sales_apr_2026.csv
ORD10726,2026-04-12,West,SKU-016,5,231.75,2026-04,273.3,sales_apr_2026.csv
ORD10727,2026-04-15,West,SKU-014,4,310.11,2026-04,270.36,sales_apr_2026.csv
ORD10728,2026-04-01,South,SKU-015,6,393.6,2026-04,199.02,sales_apr_2026.csv
ORD10729,2026-04-28,East,SKU-015,6,824.01,2026-04,199.02,sales_apr_2026.csv
ORD10730,2026-04-08,South,SKU-025,5,861.35,2026-04,134.6,sales_apr_2026.csv
ORD10731,2026-04-10,South,SKU-007,2,108.72,2026-04,150.32,sales_apr_2026.csv
ORD10732,2026-04-05,North,SKU-019,5,137.02,2026-04,137.9,sales_apr_2026.csv
ORD10733,2026-04-10,West,SKU-037,1,87.86,2026-04,51.15,sales_apr_2026.csv
ORD10734,2026-04-15,West,SKU-014,8,662.25,2026-04,540.72,sales_apr_2026.csv
ORD10735,2026-04-02,East,SKU-012,1,101.08,2026-04,10.0,sales_apr_2026.csv
ORD10736,2026-04-26,East,SKU-003,3,388.2,2026-04,243.69,sales_apr_2026.csv
ORD10737,2026-04-29,West,SKU-036,3,278.58,2026-04,248.94,sales_apr_2026.csv
ORD10738,2026-04-29,South,SKU-024,4,638.18,2026-04,66.08,sales_apr_2026.csv
ORD10739,2026-04-28,East,SKU-004,1,28.4,2026-04,5.65,sales_apr_2026.csv
ORD10740,2026-04-01,South,SKU-017,10,990.7,2026-04,80.2,sales_apr_2026.csv
ORD10741,2026-04-16,East,SKU-019,4,335.58,2026-04,110.32,sales_apr_2026.csv
ORD10742,2026-04-15,North,SKU-011,4,219.89,2026-04,273.4,sales_apr_2026.csv
ORD10743,2026-04-21,East,SKU-006,6,375.42,2026-04,50.58,sales_apr_2026.csv
ORD10744,2026-04-28,East,SKU-030,7,1206.84,2026-04,44.8,sales_apr_2026.csv
ORD10745,2026-04-26,North,SKU-003,10,1731.79,2026-04,812.3,sales_apr_2026.csv
ORD10746,2026-04-06,West,SKU-021,12,610.89,2026-04,237.96,sales_apr_2026.csv
ORD10747,2026-04-07,South,SKU-031,1,66.97,2026-04,53.08,sales_apr_2026.csv
ORD10748,2026-04-17,East,SKU-002,9,519.89,2026-04,72.9,sales_apr_2026.csv
ORD10749,2026-04-11,South,SKU-040,11,508.21,2026-04,968.44,sales_apr_2026.csv
ORD10750,2026-04-28,East,SKU-027,11,1934.55,2026-04,873.07,sales_apr_2026.csv
ORD10751,2026-04-24,West,SKU-017,10,589.37,2026-04,80.2,sales_apr_2026.csv
ORD10752,2026-04-10,South,SKU-006,11,1422.09,2026-04,92.73,sales_apr_2026.csv
ORD10753,2026-04-05,North,SKU-013,4,337.21,2026-04,258.32,sales_apr_2026.csv
ORD10754,2026-04-23,East,SKU-006,12,1294.02,2026-04,101.16,sales_apr_2026.csv
ORD10755,2026-04-08,East,SKU-012,6,702.84,2026-04,60.0,sales_apr_2026.csv
ORD10756,2026-04-15,West,SKU-029,11,1711.87,2026-04,865.59,sales_apr_2026.csv
ORD10757,2026-04-14,East,SKU-020,10,306.29,2026-04,685.7,sales_apr_2026.csv
ORD10758,2026-04-09,South,SKU-038,12,1977.45,2026-04,290.76,sales_apr_2026.csv
ORD10759,2026-04-27,North,SKU-004,2,325.27,2026-04,11.3,sales_apr_2026.csv
ORD10760,2026-04-08,East,SKU-017,9,1100.31,2026-04,72.18,sales_apr_2026.csv
ORD10761,2026-04-24,North,SKU-001,1,71.75,2026-04,33.15,sales_apr_2026.csv
ORD10762,2026-04-10,North,SKU-034,5,851.32,2026-04,190.35,sales_apr_2026.csv
ORD10763,2026-04-09,West,SKU-010,1,95.43,2026-04,45.55,sales_apr_2026.csv
ORD10764,2026-04-05,North,SKU-037,3,434.08,2026-04,153.45,sales_apr_2026.csv
ORD10765,2026-04-15,South,SKU-039,3,149.83,2026-04,124.44,sales_apr_2026.csv
ORD10766,2026-04-16,East,SKU-003,8,566.89,2026-04,649.84,sales_apr_2026.csv
ORD10767,2026-04-28,East,SKU-026,8,1249.92,2026-04,156.96,sales_apr_2026.csv
ORD10768,2026-04-14,West,SKU-011,2,174.98,2026-04,136.7,sales_apr_2026.csv
